N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
6770,3132,3638,3.905448628,2.4232461780000003
20300,16662,3638,8.288494261999999,6.891176777999999
23017,3132,19885,10.850529425999998,10.988869776
36547,16662,19885,22.28819491,15.400722141999998
118212,114574,3638,44.32472545428572,45.16969789999999
134459,114574,19885,58.22624288,52.462549906666666
139591,3132,136459,71.18399950399998,87.05087205
153121,16662,136459,82.05896693999999,89.718744175
251033,114574,136459,170.11658731999998,130.77092264666666
