N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
310566,155380,155186,219.00005899,170.98240812999998
503702,348516,155186,321.18338098,273.29347265999996
504186,155380,348806,586.5317420599999,315.57543039999996
697322,348516,348806,936.2509762799999,415.33768960000003
768834,155380,613454,853.87403158,519.25705386
768854,613668,155186,469.70292206,429.47512666
961970,348516,613454,1248.9837367799998,626.8350375800001
962474,613668,348806,676.36520638,559.02610318
1227122,613668,613454,999.9525575199999,783.25000158
