N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
51400,25694,25706,33.87899247999999,22.272269254
409424,25694,383730,256.75297072,302.25513198
409624,383918,25706,196.463876,196.08854416
767648,383918,383730,561.84268656,483.14689842
1545538,1519832,25706,879.10541246,865.16747674
1545710,25694,1520016,1156.04252778,1355.9823539000001
1903562,1519832,383730,1243.2153785799999,1165.7897000399998
1903934,383918,1520016,1505.3969152999998,1610.5597570399998
3039848,1519832,1520016,2765.19396684,2289.38499974
