N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
228,72,156,0.823269272,0.7974139039999999
1996,1840,156,9.916478966,9.812337757999998
3734,72,3662,9.694475312,10.271797464
5268,5112,156,24.506176823999997,24.063181801999995
5502,1840,3662,67.32719223199999,66.603980776
8774,5112,3662,145.66166973333333,132.17781140666668
10272,72,10200,24.717044534,25.513481479999996
12040,1840,10200,143.92723862,139.23599736666668
15312,5112,10200,294.56875596000003,261.15204622
