N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
310572,155380,155192,271.79147844,596.62183058
503708,348516,155192,414.09169533999994,937.0689650599999
504260,155380,348880,745.80340886,1054.03921946
697396,348516,348880,1185.8530332,1507.6636061199997
768748,155380,613368,1058.7898143999998,1593.76042522
768860,613668,155192,626.7469614199999,1419.84332922
961884,348516,613368,1618.41404352,2199.4682505399996
962548,613668,348880,909.0926107,2109.20723588
1227036,613668,613368,1316.6345559000001,3003.4673040999996
