N_total,preproc_time_one,search_time_one,preproc_time_two,search_time_two,one_tree_time_ms,two_trees_time_ms
310572,83.28927463934426,598.77582475,186.5450448148148,507.13576689999996,682.0650993893443,693.6808117148148
503708,208.72954583333333,904.0857070499999,306.9597234705882,802.9722458571428,1112.8152528833332,1109.931969327731
504260,203.91094391999997,918.5537562,332.55392206249996,897.7007293333334,1122.4647001199999,1230.2546513958332
697396,206.41683936,1537.8763912,463.6869051818182,1330.586969,1744.29323056,1794.2738741818182
768748,397.97011138461534,1297.0497642999999,567.0404695555555,1383.84585975,1695.0198756846153,1950.8863293055556
768860,388.80533623076917,1296.6040618,497.1270878181818,1199.6211512,1685.4093980307691,1696.7482390181817
961884,377.8927702142857,2108.0762858,683.328541375,1950.3789603333332,2485.9690560142853,2633.7075017083334
962548,392.2146313076923,2130.5457738,654.83186425,1885.0626889999999,2522.7604051076923,2539.8945532499997
1227036,393.4243376923077,3139.472225,879.3996475,2699.563394,3532.8965626923077,3578.9630414999997
