N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
51400,25694,25706,17.375916724,7.367448453999999
409424,25694,383730,150.30121786,146.79296359333333
409624,383918,25706,75.60773258,73.112804692
767648,383918,383730,205.10153714999998,180.67753292
1545538,1519832,25706,307.08768402,321.32189836
1545710,25694,1520016,551.14186636,606.28624426
1903562,1519832,383730,428.63116801999996,389.02505682
1903934,383918,1520016,773.5390756799999,670.21235444
3039848,1519832,1520016,1451.5972520799999,757.17240398
