N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
51400,25694,25706,19.473760338000005,9.050113094
409424,25694,383730,174.95546337,173.91748732
409624,383918,25706,107.62027324666667,96.55538864999998
767648,383918,383730,249.83692799,220.95262811
1545538,1519832,25706,431.94442394,392.4799918
1545710,25694,1520016,606.0564136799999,714.5452232399999
1903562,1519832,383730,539.7083785399999,438.64588960000003
1903934,383918,1520016,832.9699210399999,767.4082357599999
3039848,1519832,1520016,1577.1127855599998,970.14477946
