N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
310566,155380,155186,71.517367056,47.39543252857143
503702,348516,155186,115.40367937333333,77.03006332999999
504186,155380,348806,290.58177172,109.43816310666666
697322,348516,348806,432.08618945999996,114.20051816
768834,155380,613454,414.35046801999994,187.73897562
768854,613668,155186,180.88145951999996,134.86535217999997
961970,348516,613454,600.9020140599999,191.49702842
962474,613668,348806,239.04787432999998,164.06678306
1227122,613668,613454,333.11306054,206.88221797
