N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
310566,155380,155186,97.102269025,61.28290470799999
503702,348516,155186,156.76429603999998,102.62459540666667
504186,155380,348806,381.08102062,120.92046008666665
697322,348516,348806,606.10599654,150.14145555000002
768834,155380,613454,557.03859242,244.1386689
768854,613668,155186,263.25043294,160.03471337
961970,348516,613454,831.5059633799999,213.87823053
962474,613668,348806,334.2917007799999,211.86964085
1227122,613668,613454,429.59693638,290.66311186
