N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
6770,3132,3638,1.727345368,1.1254571579999997
20300,16662,3638,3.4018531799999994,2.828537298
23017,3132,19885,4.957243568,4.883472735999999
36547,16662,19885,9.920947682,5.820580801999999
118212,114574,3638,18.213537252000002,18.808133197999997
134459,114574,19885,22.348603774,19.749901815999994
139591,3132,136459,33.46717679333334,39.694836755000004
153121,16662,136459,45.05244981714285,38.2276112975
251033,114574,136459,99.86733079,48.835942471428574
