N_total,N1,N2,one_tree_time_ms,two_trees_time_ms
310572,155380,155192,188.64127114,577.48614748
503708,348516,155192,275.94261774,908.16938782
504260,155380,348880,517.9882967,1030.17660616
697396,348516,348880,791.58844442,1473.1448754
768748,155380,613368,719.9875066599999,1609.0296591
768860,613668,155192,411.04195727999996,1427.5061702799999
961884,348516,613368,1082.8544299999999,2162.26969896
962548,613668,348880,593.12903388,2062.9655175599996
1227036,613668,613368,878.2518538200001,2944.51961984
