NormDist,preproc_one_tree,search_one_tree,preproc_two_trees,search_two_trees,one_tree_time_ms,two_trees_time_ms
0.055864078084410934,463.33817819999996,55.9130357368421,709.050221,139.9673538,519.2512139368421,849.0175747999999
0.057286098311076485,460.6243912,54.91894594736842,707.0830573333334,134.51087926666668,515.5433371473684,841.5939366
0.05981510498638597,482.0135758,54.14983235,712.1350516666666,139.13427986666667,536.16340815,851.2693315333333
0.06365899353077006,463.17526219999996,54.22697854999999,692.032307,156.3819179230769,517.4022407499999,848.4142249230769
0.06900920751500683,459.89712,54.72966121052632,687.6293776666666,150.9801197142857,514.6267812105262,838.6094973809523
0.07603490150293532,430.7553602,56.75581389473684,689.9763399999999,164.27352676923078,487.5111740947368,854.2498667692307
0.0848781507222437,457.9317066,60.27819447368421,701.54646,189.18348881818181,518.2099010736843,890.7299488181818
0.0955893242039216,468.434082,65.04008855555556,717.6446126666666,176.77604483333334,533.4741705555556,894.4206575
0.10819118643592832,439.69523139999995,67.75414047058824,689.6218503333333,218.7569478,507.4493718705882,908.3787981333334
0.12281339466333722,436.87926619999996,68.27264711764705,674.9009976666666,258.393471875,505.15191331764703,933.2944695416666
0.13506974489749451,440.9056856,58.887244157894735,692.5709736666666,323.22410385714284,499.79292975789474,1015.7950775238095
0.13743152396312872,477.3845492,55.439519999999995,688.3259116666666,322.87555371428573,532.8240691999999,1011.2014653809523
0.14058107078241724,450.75411219999995,53.0473675,690.0424469999999,209.9220201,503.80147969999996,899.9644670999999
0.14464616736252567,453.443992,50.102234476190475,690.9425676666666,157.72524423076922,503.54622647619044,848.6678118974359
0.14949065529311792,443.228507,46.56042931818182,680.4800389999999,124.96422317647058,489.7889363181818,805.4442621764705
0.15559095054798822,452.3111498,44.78351222727272,688.0061216666666,89.353915,497.09466202727276,777.3600366666666
0.16329898722097969,446.2942618,43.66587754545454,692.5160583333334,66.02949987096774,489.96013934545454,758.5455582043011
0.17461478358227964,428.1701628,42.092815,692.609026,46.16288863636363,470.26297780000004,738.7719146363636
0.19187408193421163,435.69060139999993,42.08725852173913,700.9376546666666,40.46407807999999,477.77785992173904,741.4017327466667
0.22020761450937304,459.2797748,39.88155972727272,705.250996,26.60701047368421,499.1613345272727,731.8580064736842
0.2589251834864684,477.2707506,39.75623073913044,692.7540276666666,24.96712995061728,517.0269813391304,717.7211576172839
0.30711472926179534,421.7812256,38.65577908695652,677.3119413333334,21.402044212765958,460.4370046869565,698.7139855460994
0.36425588880279774,452.52356819999994,38.880933772727275,695.2829396666666,18.196382309090907,491.4045019727272,713.4793219757576
0.4300964015068802,455.7203306,38.41559047826087,697.391265,15.011463059701493,494.1359210782609,712.4027280597014
0.5047091823034665,464.52457039999996,38.45677017391304,702.3611813333333,13.093319666666666,502.98134057391303,715.4545009999999
0.588439715334987,447.19307919999994,38.17865252173913,685.8580263333333,10.274600651282052,485.3717317217391,696.1326269846154
0.6818066299162204,425.97248219999994,38.13779365217391,673.514198,11.959961964285714,464.11027585217386,685.4741599642857
0.7854919344381863,450.99151539999997,37.908090869565214,707.438146,10.950846546448087,488.8996062695652,718.3889925464481
0.9003218832571095,456.76615719999995,37.87587169565217,693.3856076666666,9.462222509433962,494.6420288956521,702.8478301761006
1.0272579868183473,462.6319028,37.581089999999996,697.2932813333333,9.514495056872038,500.2129928,706.8077763902054
1.167394979265487,446.059605,37.48881413043478,676.897536,8.547974564102564,483.54841913043475,685.4455105641025
1.3219636625670514,441.302513,37.56635426086956,694.4931293333333,7.1071081666666664,478.86886726086954,701.6002374999999
1.492337339654802,466.18471819999996,37.302441208333335,707.8391413333334,7.471243955223881,503.4871594083333,715.3103852885572
1.6800410678127562,423.6008636,37.19359873913044,680.4579263333334,7.308362364963504,460.79446233913046,687.7662886982969
1.8867632936887744,449.4276326,37.14360808333333,723.1227426666666,6.846216996575342,486.5712406833333,729.9689596632419
2.114369642053444,427.5760018,37.00520229166666,700.4621026666666,6.363475650793651,464.5812040916666,706.8255783174603
2.3649187678915924,447.0356834,37.142066375,678.6225936666666,5.519833303030302,484.177749775,684.1424269696969
2.6406802743742874,453.085651,37.204168347826084,676.1482573333334,5.572329740947075,490.2898193478261,681.7205870742805
2.944154765346363,460.04816639999996,37.05867345833333,686.2339106666666,5.311831872679045,497.1068398583333,691.5457425393456
3.278096150950358,437.31200039999993,37.276563833333334,694.4095696666666,4.89800037990196,474.5885642333333,699.3075700465686
3.645536365544452,447.44199439999994,37.11736633333334,709.564908,5.322524856382979,484.5593607333333,714.8874328563829
4.049812692339402,472.5212758,37.894681434782605,707.4547173333333,4.966977198511167,510.41595723478264,712.4216945318444
4.494597921870372,458.9651232,36.984381416666665,689.1954143333334,4.751639254156769,495.9495046166667,693.9470535874901
4.983933603326214,454.951301,37.080079624999996,696.719569,4.7377992938388624,492.031380625,701.4573682938388
5.522266680126841,445.061805,37.71153116666666,680.8910076666666,4.5748776155606405,482.77333616666664,685.4658852822273
6.114489834881483,430.5896606,36.987977208333334,680.2403079999999,4.328603606060606,467.57763780833335,684.5689116060605
6.765985904689596,451.77500619999995,37.10483454166666,661.18376875,3.9884164251497003,488.8798407416666,665.1721851751497
7.4826767662570735,441.6372268,37.706474782608694,684.0968413333334,3.847024998076923,479.3437015826087,687.9438663314103
8.27107713202483,448.05672939999994,37.005588374999995,684.2263286666666,3.6219757010869564,485.06231777499994,687.8483043677536
9.138353743947246,438.16832739999995,37.148878583333335,709.301204,3.665780658715596,475.3172059833333,712.9669846587155
