NormDist,preproc_one_tree,search_one_tree,preproc_two_trees,search_two_trees,one_tree_time_ms,two_trees_time_ms,,
0.0558640780844109,1545,394.288565,3293.24526,168.745582083333,1939.288565,3461.99084208333,,1545
0.0572860983110765,1545,289.365104833333,3274.146721,168.213014416667,1834.36510483333,3442.35973541667,,1545
0.059815104986386,1545,289.451085333333,3305.790385,169.891561916667,1834.45108533333,3475.68194691667,,
0.0636589935307701,1545,389.0997382,3307.610936,186.506084272727,1934.0997382,3494.11702027273,,
0.0690092075150068,1545,294.7472095,3330.809288,179.824228166667,1839.7472095,3510.63351616667,,
0.0760349015029353,1545,306.124701,3325.503364,208.1959397,1851.124701,3533.6993037,,
0.0848781507222437,1545,327.311332166667,3284.319679,230.524160111111,1872.31133216667,3514.84383911111,,
0.0955893242039216,1545,360.1843442,3300.488111,220.7662085,1905.1843442,3521.2543195,,
0.108191186435928,1545,374.1807092,3305.175728,269.413252875,1919.1807092,3574.588980875,,
0.122813394663337,1545,380.530436,3213.687852,316.059429857143,1925.530436,3529.74728185714,,
0.135069744897495,1545,313.745265833333,3296.244171,392.891643833333,1858.74526583333,3689.13581483333,,
0.137431523963129,1545,293.877944166667,3312.218953,393.291444,1838.87794416667,3705.510397,,
0.140581070782417,1545,277.182701666667,3421.422951,238.628135777778,1822.18270166667,3660.05108677778,,
0.144646167362526,1545,267.308870428571,3247.689801,187.421919090909,1812.30887042857,3435.11172009091,,
0.149490655293118,1545,250.759286,3240.554013,135.559628066667,1795.759286,3376.11364106667,,
0.155590950547988,1545,244.865345142857,3234.664103,109.954111210526,1789.86534514286,3344.61821421053,,
0.16329898722098,1545,243.733601714286,3355.978684,90.0833405217391,1788.73360171429,3446.06202452174,,
0.17461478358228,1545,239.558066,3404.441309,70.9327853448276,1784.558066,3475.37409434483,,
0.191874081934212,1545,231.609871571429,3318.889398,47.4747439767442,1776.60987157143,3366.36414197674,,
0.220207614509373,1545,227.542191,3272.251074,35.0832466315789,1772.542191,3307.33432063158,,
0.258925183486468,1545,225.433621142857,3372.545217,27.9427516666667,1770.43362114286,3400.48796866667,,
0.307114729261795,1545,225.365402428571,3340.301431,23.9183895714286,1770.36540242857,3364.21982057143,,
0.364255888802798,1545,228.741584428571,3353.337775,20.7283909381443,1773.74158442857,3374.06616593814,,
0.43009640150688,1545,222.213141375,3277.183442,19.910311029703,1767.213141375,3297.0937530297,,
0.504709182303466,1545,221.63497775,3354.688373,14.2034920921986,1766.63497775,3368.8918650922,,
0.588439715334987,1545,214.196404375,3285.440123,14.4655653597122,1759.196404375,3299.90568835971,,
0.68180662991622,1545,218.52019025,3267.598496,14.0256288601399,1763.52019025,3281.62412486014,,
0.785491934438186,1545,219.978838875,3295.638168,13.2048290394737,1764.978838875,3308.84299703947,,
0.90032188325711,1545,215.232592125,3311.868177,11.4463759542857,1760.232592125,3323.31455295429,,
1.02725798681835,1545,215.387215,3259.678142,11.9009474464286,1760.387215,3271.57908944643,,
1.16739497926549,1545,214.835621,3328.672225,10.3768963160622,1759.835621,3339.04912131606,,
1.32196366256705,1545,214.051871375,3310.845668,9.57564234449761,1759.051871375,3320.4213103445,,
1.4923373396548,1545,212.028923625,3237.006962,9.80186430392157,1757.028923625,3246.80882630392,,
1.68004106781276,1545,218.21495525,3337.959237,8.32609267219917,1763.21495525,3346.2853296722,,
1.88676329368877,1545,213.24338475,3289.271643,7.94811819047619,1758.24338475,3297.21976119048,,
2.11436964205344,1545,222.955801875,3260.60385,7.65229181679389,1767.955801875,3268.25614181679,,
2.36491876789159,1545,210.612595125,3322.21217,7.0818893180212,1755.612595125,3329.29405931802,,
2.64068027437429,1545,216.60600525,3283.994482,6.92841156747405,1761.60600525,3290.92289356747,,
2.94415476534636,1545,214.3231145,3338.621719,6.54891128104575,1759.3231145,3345.17063028104,,
3.27809615095036,1545,213.7766285,3295.605554,6.30081591509434,1758.7766285,3301.90636991509,,
3.64553636554445,1545,214.60496625,3268.388672,6.21663442546584,1759.60496625,3274.60530642547,,
4.0498126923394,1545,212.29904975,3345.329154,6.14012677607362,1757.29904975,3351.46928077607,,
4.49459792187037,1545,213.504002375,3406.25115,6.13112051226994,1758.504002375,3412.38227051227,,
4.98393360332621,1545,223.754374714286,3365.32305,5.69431453276353,1768.75437471429,3371.01736453276,,
5.52226668012684,1545,213.393015,3269.762218,5.1878383134715,1758.393015,3274.95005631347,,
6.11448983488148,1545,209.134044875,3319.81168,4.79995079616307,1754.134044875,3324.61163079616,,
6.7659859046896,1545,219.7712595,3261.259325,4.88976654278729,1764.7712595,3266.14909154279,,
7.48267676625707,1545,214.4508035,3290.779843,4.6095295046083,1759.4508035,3295.38937250461,,
8.27107713202483,1545,211.01407225,3281.448743,4.62757903935185,1756.01407225,3286.07632203935,,
9.13835374394725,1545,215.959646875,3370.792612,4.56870615981735,1760.959646875,3375.36131815982,,
10.0923905012125,1545,210.778559625,3276.754013,4.13868537888199,1755.778559625,3280.89269837888,,
11.1418601125756,1545,217.92515475,3242.527849,4.17176346555324,1762.92515475,3246.69961246555,,
12.2963029236149,1545,219.121274125,3364.615321,4.21233009473684,1764.121274125,3368.82765109474,,
13.5662136346922,1545,215.39602075,3333.595499,3.97227645526839,1760.39602075,3337.56777545527,,
14.9631366973176,1545,214.672659125,3278.278967,4.10370359137577,1759.672659125,3282.38267059138,,
16.4997712556553,1545,213.626044875,3327.474734,4.29773535913979,1758.626044875,3331.77246935914,,
18.1900865867888,1545,218.412721375,3301.82046,4.09604213934426,1763.412721375,3305.91650213934,,
