N_total,N1,N2,brut_aabbs,brut_trias,one_tree_aabbs,one_tree_trias,two_trees_aabbs,two_tress_trias,Cost_brut,Cost_one_tree,Cost_two_trees
503702,348516,155186,0,0,313854,882,318,34,0.0,7.7157564e6,20586.8
504186,155380,348806,0,0,312605,431,2559,161,0.0,7.5124542e6,122234.2
697322,348516,348806,0,0,702577,1480,3622,368,0.0,1.70813955e7,227054.6
768854,613668,155186,0,0,315862,914,270,30,0.0,7.7752868e6,17916.0
962474,613668,348806,0,0,702823,1102,3966,382,0.0,1.69413819e7,240538.4
1227122,613668,613454,0,0,1229509,250,1898,158,0.0,2.89898865e7,105543.6
