N_total,N1,N2,brut_aabbs,brut_trias,one_tree_aabbs,one_tree_trias,two_trees_aabbs,two_tress_trias,Cost_brut,Cost_one_tree,Cost_two_trees
51400,25694,25706,660489964,720,117411,796,58923,1093,1.5521791858e10,3.0661757e6,1.8062606e6
409424,25694,383730,0,0,125025,2334,829119,3215,0.0,3.8383113e6,2.0724322e7
767648,383918,383730,0,0,1171323,2430,1746483,10538,0.0,2.84633415e7,4.51068571e7
1545538,1519832,25706,0,0,102599,10762,127859,11671,0.0,6.5619799e6,7.5061912e6
1903562,1519832,383730,0,0,1189783,7537,1563576,17913,0.0,3.08669214e7,4.36530801e7
3039848,1519832,1520016,0,0,6800029,6945,5868035,25831,0.0,1.62479368e8,1.478618392e8
