N,N1,N2,one_tree_aabbs,one_tree_trias,two_trees_aabbs,two_trees_trias,one_tree_tot_cost,two_trees_tot_cost
51400,25694,25706,118109,791,67125,721,3.0806502e6,1.8555272e6
99478,25694,73784,124268,1512,192077,1393,3.5034764e6,5.0510896e6
99500,73794,25706,84593,1003,102266,1172,2.3747926e6,2.8552914e6
147578,73794,73784,235138,1574,295936,2012,6.1328348e6,7.7305244e6
175994,25694,150300,126928,1980,382715,1599,3.746494e6,9.6105368e6
176112,150406,25706,87700,1804,99692,2312,2.7567528e6,3.2345004e6
224094,73794,150300,344178,2056,580335,2101,8.8811822e6,1.44482282e7
224190,150406,73784,243542,2508,287445,3389,6.6905726e6,8.0620948e6
300706,150406,150300,475171,2005,545022,3680,1.1939847e7,1.4227393e7
