N_total,N1,N2,brut_aabbs,brut_trias,one_tree_aabbs,one_tree_trias,two_trees_aabbs,two_tress_trias,Cost_brut,Cost_one_tree,Cost_two_trees
310572,155380,155192,0,0,9981183,1940702,9855244,1951125,0.0,9.830865619e8,9.841471465e8
504260,155380,348880,0,0,13669948,3294295,19906041,3314144,0.0,1.5918533595e9,1.7460573043e9
697396,348516,348880,0,0,26577204,5237032,26371998,5263804,0.0,2.6444875363999996e9,2.6499911558e9
768860,613668,155192,0,0,19169277,4955852,19081585,4974474,0.0,2.3619501258999996e9,2.3670718693e9
962548,613668,348880,0,0,36731397,7573879,36481639,7599519,0.0,3.7844329597999997e9,3.7884529947999997e9
1227036,613668,613368,0,0,59659083,10595263,59178075,10632950,0.0,5.4885813896e9,5.4918135775e9
