N,N1,N2,one_tree_aabbs,one_tree_trias,two_trees_aabbs,two_trees_trias,one_tree_tot_cost,two_trees_tot_cost
29014,14506,14508,103747,1665,53759,4639,3.080245e6,3.0525988e6
87694,14506,73188,99192,5130,178188,5166,4.309653e6,6.1799442e6
87696,73188,14508,56487,5139,87586,17256,3.3095568e6,8.7139102e6
146376,73188,73188,209471,6707,172010,10814,7.5094584e6,8.2131948e6
174280,14506,159774,89153,6459,770225,36665,4.5863318e6,3.2241978e7
174292,159784,14508,58918,5684,156032,39270,3.5768918e6,1.8813191e7
232962,73188,159774,361159,5481,791188,66420,1.06012582e7,4.4211112e7
232972,159784,73188,215158,10482,169423,16643,9.0991204e6,1.04006456e7
319558,159784,159774,408121,4789,786559,94407,1.14379608e7,5.48969164e7
