N_total,N1,N2,brut_aabbs,brut_trias,one_tree_aabbs,one_tree_trias,two_trees_aabbs,two_tress_trias,Cost_brut,Cost_one_tree,Cost_two_trees
6770,3132,3638,11394216,545,11224,543,7798,440,2.679742825e8,473199.1,352961.0
23017,3132,19885,62279820,1189,14640,1189,23454,815,1.4640343673e9,802637.3,865514.5
36547,16662,19885,331323870,1158,49881,1203,25790,1117,7.7865575856e9,1.6362006e6,1.0368918999999999e6
118212,114574,3638,416820212,2678,23645,2659,24365,4564,9.7963078866e9,1.5812337999999998e6,2.3329123e6
134459,114574,19885,2278303990,2581,75563,3033,50782,3913,5.35411392567e10,2.9455585999999996e6,2.7026210999999996e6
251033,114574,136459,0,0,323355,4740,190589,7055,0.0,9.4270605e6,7.199955e6
