N,1_threads_time_ms,2_threads_time_ms,4_threads_time_ms,6_threads_time_ms,8_threads_time_ms,10_threads_time_ms
72,0.00902010463333333,0.0296873085,0.028567614,0.0326023843,0.035902333,0.0493960204
156,0.0213451499,0.0432043606,0.0418597556,0.041962555,0.04326639,0.0416013202
1840,0.4775511622,0.4555087494,0.2938711202,0.3351540149,0.2755253793,0.4247157401
3132,0.789631586075346,1.03959559118701,0.544845610111491,0.585263267742701,0.4458416708,0.542387414770854
3638,1.06263580521145,0.976502881365969,0.798220017744797,0.640042978475104,0.603765732828159,0.579002966213045
3662,1.02230168084669,0.885147001250223,0.860262322619875,0.747347902767277,0.637048249419953,0.672421256051129
3886,1.06735024286634,1.28602605502206,0.906677496704504,0.942778304770992,0.613486984602012,0.630774747479903
4108,1.14506335403727,1.33606071843876,1.01222649519918,0.881360035841655,0.582331703467799,0.723168947399182
5112,1.4221740619469,1.443282886754,1.00492619071747,1.02592901056119,0.985099402264601,1.03106381591523
10200,2.96580686987522,2.22120616607143,1.80827627272727,1.83678602733653,1.54672206753813,1.69955094125683
14506,4.37273567950963,3.29408818650794,3.10088697324207,2.93673665173836,2.20723338997338,2.3346142426091
14508,4.15271159684123,3.02962671202916,2.58555807836015,2.73999382233223,2.02155391182446,2.20518646344705
16662,5.16942401861427,3.4717661203897,2.61790290278508,3.0863861425031,2.4061220821653,2.35210119943289
19885,6.25938000750939,4.10682322716049,3.4924883513324,3.42157648008242,2.67755939946237,2.6995722659805
25694,8.16265122349103,5.43249748966268,4.56398252698994,4.60459267036011,3.97695954545455,3.74367004429429
25706,8.17174213398693,5.96662342891278,4.51395436256781,4.70721059528302,3.7930516486692,3.61328146376812
114574,40.3300150080645,25.9834904870466,18.7124261492537,27.8436609611111,17.5443078175439,18.5769343828996
136459,50.8465155050505,34.9800867062937,22.7345787727273,27.1106764,24.4590796634146,25.1278300452261
159774,61.6820153170732,39.0003951627907,37.989772530303,44.6248565625,29.6541604023669,31.8766488343949
159784,58.3133177209302,38.7141966076923,34.6876419862069,39.7153075952381,27.070367172973,30.3751593878788
383730,188.274023740741,145.410514457143,121.983258878049,123.217613097561,86.8367819655172,89.257001625
383918,185.655833111111,141.493620638889,129.933005897436,125.4705153,89.8575306964286,93.9575983333333
584390,253.0455507,210.906416125,171.6058456,172.780650206897,120.886642380952,123.497229926829
584390,264.077766210526,207.40660908,177.092892862069,174.562510310345,133.007689605263,126.515612075
763758,410.251688461538,305.274736058824,228.295719363636,221.311733043478,182.841983928571,178.60027925
1036736,563.177983111111,434.383549416667,335.165735333333,311.168861058823,275.190760684211,280.260334277778
1520016,845.950135,581.746500444444,440.480666916667,425.717363916667,357.919638928571,339.3189323125
